sample_id,cell_type,firre_ko,genotype,firre_induced,timepoint,chip_antibody,replicate,experiment_replicate,timecourse_length,date_sequenced,sample_name,bam_name,geo_sample_name,geo_sample_name_read1,geo_sample_name_read2,raw_data_read1,raw_data_read2,raw_data_read1_file_name,raw_data_read2_file_name,md5_read1,md5_read2
JR2814,mESC,WT,WT,control,0 hours,Input,1,1,4 days,2020-02,Firre WT 0d Input,WT.CTL,mESC_Firre_OE_control_0h_input_ChIPseq,mESC_Firre_OE_control_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2814_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2814_R2.fastq.gz,JR2814_R1.fastq.gz,JR2814_R2.fastq.gz,19747ea83ea9b5bd1caa1db3d8e35114,ba5497172e030203394cc93068a328a1
JR2815,mESC,WT,WTiTg,firre_induced,0 hours,Input,1,1,4 days,2020-02,Firre WTiTg 0d Input,WTiTg,mESC_Firre_OE_firre_induced_0h_input_ChIPseq,mESC_Firre_OE_firre_induced_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2815_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2815_R2.fastq.gz,JR2815_R1.fastq.gz,JR2815_R2.fastq.gz,6502c20cc8947f2c19b6bc8eac94edd3,a7a36b9d6ec42a45fbbb0ef56b05ff71
JR2816,mESC,KO,KO,control,0 hours,Input,1,1,4 days,2020-02,Firre KO 0d Input,KO.CTL,mESC_Firre_Rescue_control_0h_input_ChIPseq,mESC_Firre_Rescue_control_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2816_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2816_R2.fastq.gz,JR2816_R1.fastq.gz,JR2816_R2.fastq.gz,ce08d92773fa97a183933443f02c9619,c102164c299de644aa13ace445b85195
JR2817,mESC,KO,KOiTg,firre_induced,0 hours,Input,1,1,4 days,2020-02,Firre KOiTg 0d Input,KOiTg,mESC_Firre_Rescue_firre_induced_0h_input_ChIPseq,mESC_Firre_Rescue_firre_induced_0h_input_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_0h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2817_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2817_R2.fastq.gz,JR2817_R1.fastq.gz,JR2817_R2.fastq.gz,495376279f49cdf7b13b1de8bba1726c,d8f62d8da204c7b04870852574fc08ad
JR2818,mESC,WT,WT,control,0 hours,K27me3,1,1,4 days,2020-02,Firre WT 0d K27me3 IP,WT.CTL.IP,mESC_Firre_OE_control_0h_H3K27me3_ChIPseq,mESC_Firre_OE_control_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2818_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2818_R2.fastq.gz,JR2818_R1.fastq.gz,JR2818_R2.fastq.gz,b8f10b4285252d3c17642727c87a1b54,2e6c4c1913a493a30ad5fa3795a545b7
JR2819,mESC,WT,WTiTg,firre_induced,0 hours,K27me3,1,1,4 days,2020-02,Firre WTiTg 0d K27me3 IP,WTiTg.IP,mESC_Firre_OE_firre_induced_0h_H3K27me3_ChIPseq,mESC_Firre_OE_firre_induced_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2819_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2819_R2.fastq.gz,JR2819_R1.fastq.gz,JR2819_R2.fastq.gz,5979b813320b6b07e3fbde6c8e3718fa,ed3ce895833692822bbddd20e0d2343e
JR2820,mESC,KO,KO,control,0 hours,K27me3,1,1,4 days,2020-02,Firre KO 0d K27me3 IP,KO.CTL.IP,mESC_Firre_Rescue_control_0h_H3K27me3_ChIPseq,mESC_Firre_Rescue_control_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_control_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2820_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2820_R2.fastq.gz,JR2820_R1.fastq.gz,JR2820_R2.fastq.gz,a0af39246a79e62cbbc988b554771e6b,fba832f5210b91dea01f5c630e4c933b
JR2821,mESC,KO,KOiTg,firre_induced,0 hours,K27me3,1,1,4 days,2020-02,Firre KOiTg 0d K27me3 IP,KOiTg.IP,mESC_Firre_Rescue_firre_induced_0h_H3K27me3_ChIPseq,mESC_Firre_Rescue_firre_induced_0h_H3K27me3_ChIPseq_read1.fastq.gz,mESC_Firre_Rescue_firre_induced_0h_H3K27me3_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2821_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2821_R2.fastq.gz,JR2821_R1.fastq.gz,JR2821_R2.fastq.gz,09e7840b527292831fc7989580bd667b,064c881d9c6629bf1deccc0ea71e0ff4
JR2822,mESC,WT,WT,control,48 hours,Input,1,1,4 days,2020-02,Firre WT 2d Input,WT.CTL.48,mESC_Firre_OE_control_48h_input_ChIPseq,mESC_Firre_OE_control_48h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_control_48h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2822_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2822_R2.fastq.gz,JR2822_R1.fastq.gz,JR2822_R2.fastq.gz,0a49165711f15ad066e045211b74feaa,f51f47b4f27648532ff3b1f123bdd672
JR2823,mESC,WT,WTiTg,firre_induced,48 hours,Input,1,1,4 days,2020-02,Firre WTiTg 2d Input,WTiTg.48,mESC_Firre_OE_firre_induced_48h_input_ChIPseq,mESC_Firre_OE_firre_induced_48h_input_ChIPseq_read1.fastq.gz,mESC_Firre_OE_firre_induced_48h_input_ChIPseq_read2.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2823_R1.fastq.gz,/rinnlab/rinngrp/UNICORN/timecourse/FIRRE/rawdata/chipseq/fastq_merged_lanes/JR2823_R2.fastq.gz,JR2823_R1.fastq.gz,JR2823_R2.fastq.gz,720257ef582daa3c4988b2eedd0f7489,4e33ade06cac0dfd906e34580bfcd784
