group,replicate,control_group,fastq_1,fastq_2
wt0,1,wt0_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2866_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2866_R2.fastq.gz
wttg0,1,wttg0_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2867_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2867_R2.fastq.gz
ko0,1,ko0_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2868_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2868_R2.fastq.gz
kotg0,1,kotg0_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2869_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2869_R2.fastq.gz
wt2,1,wt2_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2874_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2874_R2.fastq.gz
wttg2,1,wttg2_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2875_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2875_R2.fastq.gz
ko2,1,ko2_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2876_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2876_R2.fastq.gz
kotg2,1,kotg2_CONTROL,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2877_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2877_R2.fastq.gz
wt0_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2862_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2862_R2.fastq.gz
wttg0_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2863_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2863_R2.fastq.gz
ko0_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2864_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2864_R2.fastq.gz
kotg0_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2865_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2865_R2.fastq.gz
wt2_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2870_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2870_R2.fastq.gz
wttg2_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2871_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2871_R2.fastq.gz
ko2_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2872_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2872_R2.fastq.gz
kotg2_CONTROL,1,,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2873_R1.fastq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/cutnrun/qc/JR2873_R2.fastq.gz
