sample_id,cell_type,firre_ko,firre_induced,timepoint,replicate,experiment_replicate,timecourse_length,date_sequenced,sample_name,raw_data_read1,raw_data_read2,raw_data_read1_file_name,raw_data_read2_file_name,md5_read1,md5_read2
JR2102,ESC,WT,firre_induced,0,1,1,short,2018-09,JR2102_ESC_WT_firre_induced_0_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-1_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-1_R2_001.fastq.gz,Rinn-Pool-243-1_R1_001.fastq.gz,Rinn-Pool-243-1_R2_001.fastq.gz,7c2c778293a6e5219b9b546704626dff,e6f4b2c8714e0a9054cdc6bf9be338ca
JR2103,ESC,WT,firre_induced,30,1,1,short,2018-09,JR2103_ESC_WT_firre_induced_30_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-2_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-2_R2_001.fastq.gz,Rinn-Pool-243-2_R1_001.fastq.gz,Rinn-Pool-243-2_R2_001.fastq.gz,3afb8a3f22cf8584e4a000f34d55c855,66c25b44d00373e16040794f3e8671c3
JR2104,ESC,WT,firre_induced,60,1,1,short,2018-09,JR2104_ESC_WT_firre_induced_60_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-3_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-3_R2_001.fastq.gz,Rinn-Pool-243-3_R1_001.fastq.gz,Rinn-Pool-243-3_R2_001.fastq.gz,13344b723dfe846ebbc6850fb9e018c2,074a3935774cdf2de77d28d2ef94b169
JR2105,ESC,WT,firre_induced,90,1,1,short,2018-09,JR2105_ESC_WT_firre_induced_90_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-4_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-4_R2_001.fastq.gz,Rinn-Pool-243-4_R1_001.fastq.gz,Rinn-Pool-243-4_R2_001.fastq.gz,9b26d343bbe0c1ac64bd7615cff73854,3c4ecd374711cbd4ad278ab7a60900e9
JR2106,ESC,WT,firre_induced,120,1,1,short,2018-09,JR2106_ESC_WT_firre_induced_120_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-5_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-5_R2_001.fastq.gz,Rinn-Pool-243-5_R1_001.fastq.gz,Rinn-Pool-243-5_R2_001.fastq.gz,dd1bead4c0f23b603da8b4dcb6680287,a452dee6729c7b691da0b560c2b4962f
JR2107,ESC,WT,firre_induced,150,1,1,short,2018-09,JR2107_ESC_WT_firre_induced_150_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-6_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-6_R2_001.fastq.gz,Rinn-Pool-243-6_R1_001.fastq.gz,Rinn-Pool-243-6_R2_001.fastq.gz,6cb60ec2dc5205c3c993de572cfccfdf,095de918731ecd58f99a1594708c000e
JR2108,ESC,WT,firre_induced,180,1,1,short,2018-09,JR2108_ESC_WT_firre_induced_180_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-7_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-7_R2_001.fastq.gz,Rinn-Pool-243-7_R1_001.fastq.gz,Rinn-Pool-243-7_R2_001.fastq.gz,f1de95b9db8d53b611ace53b004fd775,a2388f9af1766490a6c891c7ef334ff6
JR2109,ESC,WT,firre_induced,210,1,1,short,2018-09,JR2109_ESC_WT_firre_induced_210_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-8_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-8_R2_001.fastq.gz,Rinn-Pool-243-8_R1_001.fastq.gz,Rinn-Pool-243-8_R2_001.fastq.gz,90cbd31b876617e83991baa990e73795,1a0da9465ea9700ff9a9030385598e94
JR2110,ESC,WT,firre_induced,240,1,1,short,2018-09,JR2110_ESC_WT_firre_induced_240_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-9_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-9_R2_001.fastq.gz,Rinn-Pool-243-9_R1_001.fastq.gz,Rinn-Pool-243-9_R2_001.fastq.gz,c811cbb7211c128e0e995e2c0cd46626,c18decfa1b16cab4d0d53c592756ee67
JR2111,ESC,WT,firre_induced,270,1,1,short,2018-09,JR2111_ESC_WT_firre_induced_270_rep1,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-10_R1_001.fastq.gz,/rinnlab/rinngrp/Taeyoung/RinnLab_RNAseq/RawData/Christian_Firre_mESC_Timecourse/Genewiz_Fastq/Rinn-Pool-243-10_R2_001.fastq.gz,Rinn-Pool-243-10_R1_001.fastq.gz,Rinn-Pool-243-10_R2_001.fastq.gz,fafe41db67a09d08e8879d64672317c1,7ce274dabbe0f333f98158b4b8f1f768
