sample_id,cell_type,firre_ko,firre_induced,timepoint_minutes,replicate,timecourse_length,date_sequenced,sample_name
JR2102,ESC,WT,firre_induced,0,1,short,18-Sep,JR2102_ESC_WT_firre_induced_0_rep1
JR2103,ESC,WT,firre_induced,30,1,short,18-Sep,JR2103_ESC_WT_firre_induced_30_rep1
JR2104,ESC,WT,firre_induced,60,1,short,18-Sep,JR2104_ESC_WT_firre_induced_60_rep1
JR2105,ESC,WT,firre_induced,90,1,short,18-Sep,JR2105_ESC_WT_firre_induced_90_rep1
JR2106,ESC,WT,firre_induced,120,1,short,18-Sep,JR2106_ESC_WT_firre_induced_120_rep1
JR2107,ESC,WT,firre_induced,150,1,short,18-Sep,JR2107_ESC_WT_firre_induced_150_rep1
JR2108,ESC,WT,firre_induced,180,1,short,18-Sep,JR2108_ESC_WT_firre_induced_180_rep1
JR2109,ESC,WT,firre_induced,210,1,short,18-Sep,JR2109_ESC_WT_firre_induced_210_rep1
JR2110,ESC,WT,firre_induced,240,1,short,18-Sep,JR2110_ESC_WT_firre_induced_240_rep1
JR2111,ESC,WT,firre_induced,270,1,short,18-Sep,JR2111_ESC_WT_firre_induced_270_rep1
JR2112,ESC,WT,firre_induced,300,1,short,18-Sep,JR2112_ESC_WT_firre_induced_300_rep1
JR2113,ESC,WT,firre_induced,330,1,short,18-Sep,JR2113_ESC_WT_firre_induced_330_rep1
JR2114,ESC,WT,firre_induced,0,2,short,18-Sep,JR2114_ESC_WT_firre_induced_0_rep2
JR2115,ESC,WT,firre_induced,30,2,short,18-Sep,JR2115_ESC_WT_firre_induced_30_rep2
JR2116,ESC,WT,firre_induced,60,2,short,18-Sep,JR2116_ESC_WT_firre_induced_60_rep2
JR2117,ESC,WT,firre_induced,90,2,short,18-Sep,JR2117_ESC_WT_firre_induced_90_rep2
JR2118,ESC,WT,firre_induced,120,2,short,18-Sep,JR2118_ESC_WT_firre_induced_120_rep2
JR2119,ESC,WT,firre_induced,150,2,short,18-Sep,JR2119_ESC_WT_firre_induced_150_rep2
JR2120,ESC,WT,firre_induced,180,2,short,18-Sep,JR2120_ESC_WT_firre_induced_180_rep2
JR2121,ESC,WT,firre_induced,210,2,short,18-Sep,JR2121_ESC_WT_firre_induced_210_rep2
JR2122,ESC,WT,firre_induced,240,2,short,18-Sep,JR2122_ESC_WT_firre_induced_240_rep2
JR2123,ESC,WT,firre_induced,270,2,short,18-Sep,JR2123_ESC_WT_firre_induced_270_rep2
JR2124,ESC,WT,firre_induced,300,2,short,18-Sep,JR2124_ESC_WT_firre_induced_300_rep2
JR2125,ESC,WT,firre_induced,330,2,short,18-Sep,JR2125_ESC_WT_firre_induced_330_rep2
JR2406,ESC,KO,control,270,1,short,19-Mar,JR2406_ESC_KO_control_270_rep1
JR2407,ESC,KO,control,240,1,short,19-Mar,JR2407_ESC_KO_control_240_rep1
JR2408,ESC,KO,control,90,1,short,19-Mar,JR2408_ESC_KO_control_90_rep1
JR2409,ESC,KO,control,180,1,short,19-Mar,JR2409_ESC_KO_control_180_rep1
JR2410,ESC,KO,control,330,1,short,19-Mar,JR2410_ESC_KO_control_330_rep1
JR2411,ESC,KO,control,150,1,short,19-Mar,JR2411_ESC_KO_control_150_rep1
JR2412,ESC,KO,firre_induced,210,1,short,19-Mar,JR2412_ESC_KO_firre_induced_210_rep1
JR2413,ESC,KO,firre_induced,30,1,short,19-Mar,JR2413_ESC_KO_firre_induced_30_rep1
JR2414,ESC,KO,firre_induced,330,1,short,19-Mar,JR2414_ESC_KO_firre_induced_330_rep1
JR2415,ESC,KO,firre_induced,0,1,short,19-Mar,JR2415_ESC_KO_firre_induced_0_rep1
JR2416,ESC,KO,firre_induced,120,1,short,19-Mar,JR2416_ESC_KO_firre_induced_120_rep1
JR2417,ESC,KO,firre_induced,90,1,short,19-Mar,JR2417_ESC_KO_firre_induced_90_rep1
JR2418,ESC,KO,control,210,1,short,19-Mar,JR2418_ESC_KO_control_210_rep1
JR2419,ESC,KO,control,60,1,short,19-Mar,JR2419_ESC_KO_control_60_rep1
JR2420,ESC,KO,control,0,1,short,19-Mar,JR2420_ESC_KO_control_0_rep1
JR2421,ESC,KO,control,300,1,short,19-Mar,JR2421_ESC_KO_control_300_rep1
JR2422,ESC,KO,control,120,1,short,19-Mar,JR2422_ESC_KO_control_120_rep1
JR2423,ESC,KO,control,30,1,short,19-Mar,JR2423_ESC_KO_control_30_rep1
JR2424,ESC,KO,firre_induced,300,1,short,19-Mar,JR2424_ESC_KO_firre_induced_300_rep1
JR2425,ESC,KO,firre_induced,150,1,short,19-Mar,JR2425_ESC_KO_firre_induced_150_rep1
JR2426,ESC,KO,firre_induced,240,1,short,19-Mar,JR2426_ESC_KO_firre_induced_240_rep1
JR2427,ESC,KO,firre_induced,60,1,short,19-Mar,JR2427_ESC_KO_firre_induced_60_rep1
JR2428,ESC,KO,firre_induced,270,1,short,19-Mar,JR2428_ESC_KO_firre_induced_270_rep1
JR2429,ESC,KO,firre_induced,180,1,short,19-Mar,JR2429_ESC_KO_firre_induced_180_rep1
JR2430,ESC,KO,control,240,2,short,19-Mar,JR2430_ESC_KO_control_240_rep2
JR2431,ESC,KO,control,270,2,short,19-Mar,JR2431_ESC_KO_control_270_rep2
JR2432,ESC,KO,control,180,2,short,19-Mar,JR2432_ESC_KO_control_180_rep2
JR2433,ESC,KO,control,300,2,short,19-Mar,JR2433_ESC_KO_control_300_rep2
JR2434,ESC,KO,control,330,2,short,19-Mar,JR2434_ESC_KO_control_330_rep2
JR2435,ESC,KO,control,30,2,short,19-Mar,JR2435_ESC_KO_control_30_rep2
JR2436,ESC,KO,firre_induced,240,2,short,19-Mar,JR2436_ESC_KO_firre_induced_240_rep2
JR2437,ESC,KO,firre_induced,0,2,short,19-Mar,JR2437_ESC_KO_firre_induced_0_rep2
JR2438,ESC,KO,firre_induced,60,2,short,19-Mar,JR2438_ESC_KO_firre_induced_60_rep2
JR2439,ESC,KO,firre_induced,120,2,short,19-Mar,JR2439_ESC_KO_firre_induced_120_rep2
JR2440,ESC,KO,firre_induced,30,2,short,19-Mar,JR2440_ESC_KO_firre_induced_30_rep2
JR2441,ESC,KO,firre_induced,180,2,short,19-Mar,JR2441_ESC_KO_firre_induced_180_rep2
JR2442,ESC,KO,control,210,2,short,19-Mar,JR2442_ESC_KO_control_210_rep2
JR2443,ESC,KO,control,0,2,short,19-Mar,JR2443_ESC_KO_control_0_rep2
JR2444,ESC,KO,control,150,2,short,19-Mar,JR2444_ESC_KO_control_150_rep2
JR2445,ESC,KO,control,120,2,short,19-Mar,JR2445_ESC_KO_control_120_rep2
JR2446,ESC,KO,control,90,2,short,19-Mar,JR2446_ESC_KO_control_90_rep2
JR2447,ESC,KO,control,60,2,short,19-Mar,JR2447_ESC_KO_control_60_rep2
JR2448,ESC,KO,firre_induced,300,2,short,19-Mar,JR2448_ESC_KO_firre_induced_300_rep2
JR2449,ESC,KO,firre_induced,210,2,short,19-Mar,JR2449_ESC_KO_firre_induced_210_rep2
JR2450,ESC,KO,firre_induced,150,2,short,19-Mar,JR2450_ESC_KO_firre_induced_150_rep2
JR2451,ESC,KO,firre_induced,270,2,short,19-Mar,JR2451_ESC_KO_firre_induced_270_rep2
JR2452,ESC,KO,firre_induced,330,2,short,19-Mar,JR2452_ESC_KO_firre_induced_330_rep2
JR2453,ESC,KO,firre_induced,90,2,short,19-Mar,JR2453_ESC_KO_firre_induced_90_rep2
JR2492,pMEF,WT,control,0,1,short,19-May,JR2492_pMEF_WT_control_0_rep1
JR2493,pMEF,WT,control,300,1,short,19-May,JR2493_pMEF_WT_control_300_rep1
JR2494,pMEF,WT,control,330,1,short,19-May,JR2494_pMEF_WT_control_330_rep1
JR2495,pMEF,WT,control,90,1,short,19-May,JR2495_pMEF_WT_control_90_rep1
JR2496,pMEF,WT,control,210,1,short,19-May,JR2496_pMEF_WT_control_210_rep1
JR2497,pMEF,WT,control,60,1,short,19-May,JR2497_pMEF_WT_control_60_rep1
JR2498,pMEF,WT,control,180,1,short,19-May,JR2498_pMEF_WT_control_180_rep1
JR2499,pMEF,WT,control,120,1,short,19-May,JR2499_pMEF_WT_control_120_rep1
JR2500,pMEF,WT,control,150,1,short,19-May,JR2500_pMEF_WT_control_150_rep1
JR2501,pMEF,WT,control,240,1,short,19-May,JR2501_pMEF_WT_control_240_rep1
JR2502,pMEF,WT,control,270,1,short,19-May,JR2502_pMEF_WT_control_270_rep1
JR2503,pMEF,WT,control,30,1,short,19-May,JR2503_pMEF_WT_control_30_rep1
JR2504,pMEF,KO,firre_induced,120,1,short,19-May,JR2504_pMEF_KO_firre_induced_120_rep1
JR2505,pMEF,KO,firre_induced,330,1,short,19-May,JR2505_pMEF_KO_firre_induced_330_rep1
JR2506,pMEF,KO,firre_induced,180,1,short,19-May,JR2506_pMEF_KO_firre_induced_180_rep1
