sample,fastq_1,fastq_2,strandedness
ESC_KO_control_270min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2406_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2406_R2.fq.gz,unstranded
ESC_KO_control_240min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2407_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2407_R2.fq.gz,unstranded
ESC_KO_control_90min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2408_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2408_R2.fq.gz,unstranded
ESC_KO_control_180min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2409_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2409_R2.fq.gz,unstranded
ESC_KO_control_330min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2410_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2410_R2.fq.gz,unstranded
ESC_KO_control_150min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2411_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2411_R2.fq.gz,unstranded
ESC_KO_firre_induced_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2412_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2412_R2.fq.gz,unstranded
ESC_KO_firre_induced_30min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2413_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2413_R2.fq.gz,unstranded
ESC_KO_firre_induced_330min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2414_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2414_R2.fq.gz,unstranded
ESC_KO_firre_induced_0min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2415_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2415_R2.fq.gz,unstranded
ESC_KO_firre_induced_120min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2416_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2416_R2.fq.gz,unstranded
ESC_KO_firre_induced_90min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2417_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2417_R2.fq.gz,unstranded
ESC_KO_control_210min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2418_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2418_R2.fq.gz,unstranded
ESC_KO_control_60min_dox_short_rep1,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2419_R1.fq.gz,/scratch/Shares/rinn/Michael/firre_timecourse/rnaseq1/fastq/JR2419_R2.fq.gz,unstranded
