sample_id,cell_type,genotype,firre_ko,contains_itg,firre_induced,timepoint,replicate,sample_name,experiment
JR2536,mESCs,Firre WT,WT,FALSE,FALSE,0m,1,Firre WT1 0-1,short
JR2529,mESCs,Firre WT,WT,FALSE,FALSE,30m,1,Firre WT1 30-1,short
JR2519,mESCs,Firre WT,WT,FALSE,FALSE,60m,1,Firre WT1 60-1,short
JR2526,mESCs,Firre WT,WT,FALSE,FALSE,90m,1,Firre WT1 90-1,short
JR2521,mESCs,Firre WT,WT,FALSE,FALSE,120m,1,Firre WT1 120-1,short
JR2531,mESCs,Firre WT,WT,FALSE,FALSE,150m,1,Firre WT1 150-1,short
JR2530,mESCs,Firre WT,WT,FALSE,FALSE,180m,1,Firre WT1 180-1,short
JR2524,mESCs,Firre WT,WT,FALSE,FALSE,210m,1,Firre WT1 210-1,short
JR2516,mESCs,Firre WT,WT,FALSE,FALSE,240m,1,Firre WT1 240-1,short
JR2517,mESCs,Firre WT,WT,FALSE,FALSE,270m,1,Firre WT1 270-1,short
JR2532,mESCs,Firre WT,WT,FALSE,FALSE,300m,1,Firre WT1 300-1,short
JR2535,mESCs,Firre WT,WT,FALSE,FALSE,330m,1,Firre WT1 330-1,short
JR2520,mESCs,Firre WT,WT,FALSE,FALSE,0m,2,Firre WT1 0-2,short
JR2533,mESCs,Firre WT,WT,FALSE,FALSE,30m,2,Firre WT1 30-2,short
JR2537,mESCs,Firre WT,WT,FALSE,FALSE,60m,2,Firre WT1 60-2,short
JR2518,mESCs,Firre WT,WT,FALSE,FALSE,90m,2,Firre WT1 90-2,short
JR2525,mESCs,Firre WT,WT,FALSE,FALSE,120m,2,Firre WT1 120-2,short
JR2528,mESCs,Firre WT,WT,FALSE,FALSE,150m,2,Firre WT1 150-2,short
JR2522,mESCs,Firre WT,WT,FALSE,FALSE,180m,2,Firre WT1 180-2,short
JR2539,mESCs,Firre WT,WT,FALSE,FALSE,210m,2,Firre WT1 210-2,short
JR2538,mESCs,Firre WT,WT,FALSE,FALSE,240m,2,Firre WT1 240-2,short
JR2523,mESCs,Firre WT,WT,FALSE,FALSE,270m,2,Firre WT1 270-2,short
JR2527,mESCs,Firre WT,WT,FALSE,FALSE,300m,2,Firre WT1 300-2,short
JR2534,mESCs,Firre WT,WT,FALSE,FALSE,330m,2,Firre WT1 330-2,short
JR2563,mESCs,Firre WTiTg,WT,TRUE,TRUE,0m,1,Firre WTiTg1 0-1,short
JR2556,mESCs,Firre WTiTg,WT,TRUE,TRUE,30m,1,Firre WTiTg1 30-1,short
JR2546,mESCs,Firre WTiTg,WT,TRUE,TRUE,60m,1,Firre WTiTg1 60-1,short
JR2555,mESCs,Firre WTiTg,WT,TRUE,TRUE,90m,1,Firre WTiTg1 90-1,short
JR2561,mESCs,Firre WTiTg,WT,TRUE,TRUE,120m,1,Firre WTiTg1 120-1,short
JR2544,mESCs,Firre WTiTg,WT,TRUE,TRUE,150m,1,Firre WTiTg1 150-1,short
JR2540,mESCs,Firre WTiTg,WT,TRUE,TRUE,180m,1,Firre WTiTg1 180-1,short
JR2545,mESCs,Firre WTiTg,WT,TRUE,TRUE,210m,1,Firre WTiTg1 210-1,short
JR2558,mESCs,Firre WTiTg,WT,TRUE,TRUE,240m,1,Firre WTiTg1 240-1,short
JR2559,mESCs,Firre WTiTg,WT,TRUE,TRUE,270m,1,Firre WTiTg1 270-1,short
